Client,Project,User,2016-10-24,2016-10-25,2016-10-26,2016-10-27,2016-10-28,2016-10-29,2016-10-30,Total
,Learn Web Dev,janiet,05:00:00,,,,,,,05:00:00
,,janiet,01:22:19,06:19:41,02:04:29,02:19:48,,,,12:06:17
Total:,,,06:22:19,06:19:41,02:04:29,02:19:48,,,,17:06:17
