Client,Project,User,2016-10-10,2016-10-11,2016-10-12,2016-10-13,2016-10-14,2016-10-15,2016-10-16,Total
,Learn Web Dev,janiet,01:30:43,,,04:32:04,,,,06:02:47
,,janiet,00:19:52,,,00:33:04,,03:00:15,,03:53:11
Total:,,,01:50:35,,,05:05:08,,03:00:15,,09:55:58
