Client,Project,User,2016-09-26,2016-09-27,2016-09-28,2016-09-29,2016-09-30,2016-10-01,2016-10-02,Total
,,janiet,,00:37:35,05:03:44,08:20:52,,,,14:02:11
Total:,,,,00:37:35,05:03:44,08:20:52,,,,14:02:11
