Client,Project,User,2016-09-26,2016-09-27,2016-09-28,2016-09-29,2016-09-30,2016-10-01,2016-10-02,Total
,Leard Web Dev,Wmhburgess,,03:15:00,02:11:27,03:18:37,07:36:52,,08:25:24,24:47:20
Total:,,,,03:15:00,02:11:27,03:18:37,07:36:52,,08:25:24,24:47:20
