Client,Project,User,2016-11-21,2016-11-22,2016-11-23,2016-11-24,2016-11-25,2016-11-26,2016-11-27,Total
,Phase0-Week 8,Amvos,,,,,,00:15:21,,00:15:21
,Phase0-week9,Amvos,01:09:37,00:39:58,01:35:24,,11:53:58,05:10:41,02:48:21,23:17:59
,,Amvos,,,,,,00:00:01,,00:00:01
Total:,,,01:09:37,00:39:58,01:35:24,,11:53:58,05:26:03,02:48:21,23:33:21
