Client,Project,User,2016-11-14,2016-11-15,2016-11-16,2016-11-17,2016-11-18,2016-11-19,2016-11-20,Total
,learn web dev,Lucaswills114,06:00:00,03:00:00,03:00:00,,03:00:00,,02:00:00,17:00:00
Total:,,,06:00:00,03:00:00,03:00:00,,03:00:00,,02:00:00,17:00:00
